The Shawshank Redemption (1994),1,Two imprisoned men forge a lasting friendship as they navigate life within the confines of Shawshank prison.,Metroplex,CineWorld,142,10,Drama,250,18:45,src/Cinema3/images/Shawshank Redemption (1994) movie.jpg
The Dark Knight (2008),2,Batman faces the chaotic Joker as he attempts to bring justice to Gotham City.,CineWorld,GrandCinema,152,12,Action Crime Drama,200,21:00,src/Cinema3/images/Dark Knight Rises (2012) movie poster.jpg
Pulp Fiction (1994),3,A nonlinear narrative weaves together the lives of criminals/ hitmen/ and other colorful characters.,GrandCinema,CityViewCinemas,154,11,Crime Drama,180,19:30,src/Cinema3/images/Pulp Fiction (1994) movie poster.jpg
The Godfather (1972),4,The Corleone family's patriarch navigates the world of organized crime power and betrayal.,CityViewCinemas,FilmCity,175,13,Crime Drama,200,18:30,src/Cinema3/images/Godfather.jpg
Inception (2010),5,A skilled thief enters people's dreams to steal their deepest secrets.,FilmCity,CinemaPlex,148,14,Action Adventure Sci-Fi,210,20:00,src/Cinema3/images/Inception (2010) movie poster.jpg
Schindler's List (1993),6,Based on a true story/ Oskar Schindler saves Jews during the Holocaust by employing them in his factory.,CinemaPlex,SilverScreen,195,12,Biography Drama History,190,21:45,src/Cinema3/images/Schindler's List (1993) movie poster.jpg
Forrest Gump (1994),7,Forrest Gump's extraordinary life and experiences shape American history over several decades.,SilverScreen,CityViewCinemas,142,11,Drama Romance,220,19:15,src/Cinema3/images/Forrest Gump (1994) movie poster.jpg
The Matrix (1999),8,Neo discovers the truth about his reality and joins a rebellion against machines.,CityViewCinemas,FilmMagic,136,10,Action Sci-Fi,220,20:30,src/Cinema3/images/Matrix (1999) movie poster.jpg
Titanic (1997),9,A love story unfolds against the backdrop of the ill-fated maiden voyage of the Titanic.,FilmMagic,MegaCineplex,195,13,Drama Romance,180,18:45,src/Cinema3/images/Titanic (1997) movie poster.jpg
The Lord of the Rings: The Fellowship of the Ring (2001),10,Frodo and his companions embark on a quest to destroy a powerful ring and save Middle-earth.,MegaCineplex,Metroplex,178,12,Adventure Fantasy,210,17:30,src/Cinema3/images/Lord of the Rings The Fellowship o.jpg
